id;email;mobile_phone;encoded_password;member_status;member_since
1;Simeon.Swaniawski@yahoo.com;Malaysia;parsing RSS;64916;2020-04-29
2;Josephine.Farrell@gmail.com;Forge virtual ;payment Technician;14680;2020-04-29
3;Giovani.Hessel@yahoo.com;Home Loan Acco;Cliff;85368;2020-04-29
4;Korbin.Johnson56@hotmail.com;Sleek applicat;interface;29098;2020-04-29
5;Margot_Sporer10@gmail.com;green multi-by;Clothing technologies;35060;2020-04-29
6;Reinhold_Zboncak@yahoo.com;port Michigan;copy;67037;2020-04-29
7;Austyn.Streich@yahoo.com;Concrete Port;Stravenue Business-focused context-sensitive;23921;2020-04-30
8;Deborah79@hotmail.com;solid state;Persevering transmit Handcrafted;70215;2020-04-30
9;Sydney35@hotmail.com;data-warehouse;Unbranded Cotton Car;80887;2020-04-29
10;Vernice.White@hotmail.com;Books backing ;client-driven compressing Afghani;15946;2020-04-29
